class,u,g,r,i,z,redshift,ra,dec,cluster
STAR,19.47406,17.0424,15.94699,15.50342,15.22531,-8.96e-06,134.8344427850505,-22.74465267599427,0
STAR,18.6628,17.21449,16.67637,16.48922,16.3915,-5.49e-05,342.2571503075698,-30.075822678347407,0
GALAXY,19.38298,18.19169,17.47428,17.08732,16.80125,0.1231112,263.51781905210584,-58.29229574948519,0
STAR,17.76536,16.60272,16.16116,15.98233,15.90438,-0.000110616,215.5170543109332,19.308000618267823,0
STAR,17.55025,16.26342,16.43869,16.55492,16.61326,0.000590357,56.16671055927715,-4.207651108446797,0
STAR,19.43133,18.46779,18.16451,18.01475,18.04155,0.000314603,56.158027321032954,65.82617861832065,0
GALAXY,19.38322,17.88995,17.10537,16.66393,16.36955,0.1002423,20.910100380551807,-84.22027551322951,0
STAR,18.97993,17.84496,17.38022,17.20673,17.07071,0.000314848,311.82341247897665,25.896226959922743,0
STAR,17.90616,16.97172,16.67541,16.53776,16.47596,8.91e-05,216.40140422755516,47.330798132081014,0
GALAXY,18.67249,17.71375,17.49362,17.28284,17.22644,0.04050813,254.9061280065764,46.70758245389527,0
STAR,19.29772,17.80227,17.18266,16.92335,16.79928,-3.46e-05,7.410417946488881,69.49331407719453,0
STAR,18.83307,17.51785,16.94273,16.71418,16.60521,0.000622774,349.16754677831796,41.226073709308935,0
STAR,19.5625,18.19113,17.65759,17.47573,17.39203,5.47e-05,299.6793506881518,77.00581109658535,0
STAR,19.5799,17.72815,16.9874,16.68076,16.50426,8.3e-06,76.44207984417942,-30.12181203223954,0
GALAXY,19.25667,17.54869,16.63578,16.14922,15.76639,0.07208736,65.45698819455622,0.5776950152777545,0
QSO,18.73832,18.60962,18.39696,18.31174,17.97663,0.2719369,66.02562354723618,-87.46566060907968,0
STAR,19.05958,18.09512,17.92766,17.8927,17.90772,0.000209974,109.52720746543358,-88.74763428540759,0
QSO,19.22143,19.30248,19.13823,19.11351,19.23454,1.178098,188.9123153876056,-46.77720831872642,0
STAR,19.04397,17.51106,16.87335,16.61114,16.48303,0.000240098,155.50020671116167,-71.85470451496465,0
GALAXY,17.81661,16.86976,16.53884,16.19576,16.08668,0.07277206,104.8424904712951,-43.16195377156435,0
STAR,19.3932,18.48274,18.16551,18.05122,18.04328,-0.000270218,220.2670421000566,-58.13220698488847,0
STAR,17.51339,16.41793,16.06695,15.93751,15.89478,-3.55e-05,50.21778983473506,-84.86639552904332,0
QSO,19.07731,18.64518,18.49678,18.52677,18.45765,0.9251733,105.17207347267852,73.67474635308889,0
STAR,18.63032,17.23437,16.72749,16.51772,16.44039,4.31e-06,131.890263585729,-88.51983634999952,0
STAR,19.21684,18.29956,18.19589,18.14758,18.26658,8.8e-05,164.18519431813294,42.494785980675374,0
GALAXY,19.4127,17.47109,16.4987,16.06502,15.66848,0.1167829,282.6633461014849,-62.61338035448702,0
GALAXY,18.48543,17.339,16.90179,16.66712,16.48684,0.02129653,71.88256157700951,74.20133195992801,0
STAR,17.72835,16.19783,15.66073,15.51586,15.43615,0.000175365,185.1243978289002,70.70326912617944,0
STAR,17.70824,16.61069,16.19772,16.0625,16.00229,0.00017238,213.26924479033528,27.70220634646633,0
STAR,18.18974,17.23738,16.89113,16.75727,16.71052,0.000519808,16.72214857919918,31.00214696410893,0
GALAXY,19.0764,17.78953,16.98818,16.60519,16.27859,0.1169446,218.7161466845178,-89.03895444545606,0
GALAXY,19.18013,18.07133,17.71771,17.48797,17.55667,0.06807999,61.38868452742495,87.27688190044836,0
STAR,18.38848,17.00188,16.37884,16.16978,16.0124,0.000135947,23.418573474700622,68.0098686436466,0
STAR,17.93407,16.64581,16.22206,16.07029,16.06046,0.000158087,341.59879341119995,71.11912063141656,0
STAR,19.03059,18.10673,17.82561,17.71227,17.6878,-0.000167378,347.62753190684134,28.66401666915695,0
STAR,18.12978,17.17421,16.75108,16.5884,16.48527,0.000692428,291.023045321926,-27.938352842183427,0
STAR,18.15079,16.77761,16.2215,16.02345,15.91957,0.000304361,109.66095690241345,70.85675683628654,0
GALAXY,19.52092,17.58562,16.4269,15.94473,15.56269,0.1506381,35.161961042298195,-37.52695293278538,0
STAR,18.90592,17.46608,16.85369,16.58687,16.41878,0.00057828,246.32388954437647,11.288077801596517,0
STAR,17.7019,16.76073,16.48746,16.38173,16.33654,0.000704736,158.45489774625648,-72.04842497810117,0
STAR,18.85351,17.97745,17.6112,17.45679,17.40576,-0.000676195,43.93376454412038,75.95201342389504,0
STAR,18.75478,17.58247,17.08046,16.87063,16.75911,-0.000503256,178.26368764005727,-64.6613176011816,0
STAR,18.33616,17.30684,16.92903,16.78272,16.73807,7.61e-05,12.379867601478622,-49.51857496852669,0
GALAXY,19.1713,18.01316,17.42493,17.04493,16.82237,0.1183854,327.3553447483615,10.4641484630787,0
GALAXY,19.12083,17.92189,17.18494,16.7895,16.52258,0.1575296,93.1607933760061,47.53674003833669,0
QSO,17.55001,17.42367,17.35734,17.19343,16.97589,2.044347,238.5080223674335,21.483235068533816,0
STAR,18.89707,18.04519,17.7501,17.6378,17.6124,0.000250291,112.21598739218794,-48.21589569597189,0
GALAXY,19.48347,17.51522,16.31651,15.83499,15.4368,0.1585163,187.22448762401189,-89.83025234505175,0
STAR,19.31764,18.38629,18.12009,17.9998,17.93916,0.000576704,196.81570056358063,46.28710445533906,0
STAR,17.964,16.39632,15.74191,15.4828,15.32453,0.000349798,66.54760398918974,87.33731866399688,0
STAR,19.19383,18.20278,17.90109,17.77634,17.74759,-0.000256492,349.0504659952411,55.78436165509626,0
GALAXY,19.19752,18.07471,17.76889,17.6148,17.49577,0.02335118,279.04781641000125,-7.1628087318092355,0
GALAXY,19.26627,18.16093,17.59907,17.2172,17.06311,0.1236402,338.2196189631081,72.67810705183919,0
GALAXY,19.38251,17.92302,17.11018,16.66492,16.34558,0.1141676,322.1378461539536,-16.22741883869699,0
STAR,19.48702,18.51823,18.18637,18.06704,18.05865,0.000790241,215.24399237199063,4.488135163824154,0
GALAXY,19.2634,17.67693,16.82551,16.42307,16.13864,0.1330486,331.8747246083221,-4.116641868777009,0
GALAXY,19.31866,18.27407,17.74884,17.41618,17.24165,0.07470067,31.85730073869102,-9.427702920205505,0
STAR,18.73682,17.65075,17.23958,17.07875,17.03255,0.000106767,70.55383047089227,49.534338472903045,0
GALAXY,19.29416,17.97134,17.26079,16.86013,16.56031,0.08692535,16.281824007793702,4.8184033085085645,0
GALAXY,19.48611,17.93822,17.21548,16.82853,16.53911,0.1335348,117.11891907477516,-32.99091803546111,0
GALAXY,19.31804,17.30973,16.17525,15.69015,15.31261,0.1370104,139.92382428821352,-43.5315298214739,0
GALAXY,19.29157,17.3125,16.17862,15.70898,15.31378,0.1373722,97.68565143860252,-83.20548294586199,0
QSO,19.52565,19.29625,18.95885,18.52108,18.57694,0.1346428,298.34550329469454,14.975129138948276,0
GALAXY,19.38467,18.59734,18.12431,17.74761,17.63823,0.1321922,128.43119760969213,-48.606945227813846,0
GALAXY,18.27173,17.0717,16.65145,16.39055,16.27766,0.03641907,101.13642348745708,-63.33589403705105,0
GALAXY,19.10892,17.76311,16.91794,16.47233,16.19134,0.1383506,195.37058993696945,27.689393488981977,0
STAR,17.78707,16.12342,15.48934,15.2674,15.14027,0.000149526,50.73272099091455,32.61766640787879,0
